session_id,x,y,time,event_type,label
_w6a6vicku,904,147,697,move,human
_w6a6vicku,808,161,755,move,human
_w6a6vicku,714,201,814,move,human
_w6a6vicku,643,247,872,move,human
_w6a6vicku,582,258,929,move,human
_w6a6vicku,527,239,988,move,human
_w6a6vicku,476,203,1046,move,human
_w6a6vicku,445,147,1104,move,human
_w6a6vicku,416,107,1163,move,human
_w6a6vicku,360,79,1220,move,human
_w6a6vicku,288,65,1271,move,human
_w6a6vicku,203,60,1329,move,human
_w6a6vicku,150,47,1387,move,human
_w6a6vicku,128,35,1445,move,human
_w6a6vicku,117,27,1503,move,human
_w6a6vicku,113,26,1554,move,human
_w6a6vicku,73,18,1611,move,human
_w6a6vicku,42,21,1662,move,human
_w6a6vicku,14,20,1720,move,human
_zd0f5d6c3,574,441,59,move,human
_zd0f5d6c3,594,363,117,move,human
_zd0f5d6c3,596,309,175,move,human
_zd0f5d6c3,562,252,233,move,human
_zd0f5d6c3,460,157,291,move,human
_zd0f5d6c3,406,162,552,move,human
_zd0f5d6c3,376,149,608,move,human
_zd0f5d6c3,299,137,666,move,human
_zd0f5d6c3,233,124,723,move,human
_zd0f5d6c3,164,105,782,move,human
_zd0f5d6c3,117,85,840,move,human
_zd0f5d6c3,106,76,891,move,human
_zd0f5d6c3,91,55,948,move,human
_zd0f5d6c3,91,54,1012,move,human
_zd0f5d6c3,88,38,1065,move,human
_zd0f5d6c3,85,35,1179,move,human
_zd0f5d6c3,78,34,1231,move,human
_zd0f5d6c3,65,31,1290,move,human
_zd0f5d6c3,53,27,1348,move,human
_zd0f5d6c3,46,24,1406,move,human
_zd0f5d6c3,41,20,1465,move,human
_z2oqkhehg,872,416,58,move,human
_z2oqkhehg,858,361,116,move,human
_z2oqkhehg,815,304,174,move,human
_z2oqkhehg,770,284,225,move,human
_z2oqkhehg,760,284,461,move,human
_z2oqkhehg,713,262,515,move,human
_z2oqkhehg,627,240,574,move,human
_z2oqkhehg,551,231,632,move,human
_z2oqkhehg,478,228,691,move,human
_z2oqkhehg,407,225,749,move,human
_z2oqkhehg,353,218,807,move,human
_z2oqkhehg,318,205,865,move,human
_z2oqkhehg,284,182,923,move,human
_z2oqkhehg,247,159,974,move,human
_z2oqkhehg,217,122,1031,move,human
_z2oqkhehg,189,89,1090,move,human
_z2oqkhehg,165,68,1147,move,human
_z2oqkhehg,151,62,1198,move,human
_z2oqkhehg,142,59,1251,move,human
_z2oqkhehg,133,57,1306,move,human
_z2oqkhehg,114,50,1364,move,human
_z2oqkhehg,81,43,1423,move,human
_z2oqkhehg,60,41,1481,move,human
_z2oqkhehg,56,38,1538,move,human
_z2oqkhehg,55,35,1590,move,human
_z2oqkhehg,51,30,1647,move,human
_z2oqkhehg,48,25,1698,move,human
_z2oqkhehg,44,19,1755,move,human
_z2oqkhehg,43,16,1822,move,human
_fq34s01fi,224,583,51,move,human
_fq34s01fi,182,535,108,move,human
_fq34s01fi,145,487,159,move,human
_fq34s01fi,100,427,217,move,human
_fq34s01fi,77,392,275,move,human
_fq34s01fi,72,375,333,move,human
_fq34s01fi,87,355,391,move,human
_fq34s01fi,85,354,702,move,human
_fq34s01fi,75,335,758,move,human
_fq34s01fi,31,303,815,move,human
_fq34s01fi,0,273,866,move,human
_fq34s01fi,0,237,924,move,human
_fq34s01fi,0,197,982,move,human
_fq34s01fi,0,164,1040,move,human
