session_id,x,y,time,event_type,label
_r8yvy0zu9,58,35,1544,move,robot
_r8yvy0zu9,36,19,1606,move,robot
_gz54rjuah,260,139,63,move,robot
_gz54rjuah,447,238,127,move,robot
_gz54rjuah,634,338,188,move,robot
_gz54rjuah,741,395,252,move,robot
_gz54rjuah,717,382,314,move,robot
_gz54rjuah,692,369,375,move,robot
_gz54rjuah,667,355,436,move,robot
_gz54rjuah,642,342,499,move,robot
_gz54rjuah,628,334,560,move,robot
_gz54rjuah,603,321,622,move,robot
_gz54rjuah,578,308,684,move,robot
_gz54rjuah,553,294,747,move,robot
_gz54rjuah,539,287,809,move,robot
_gz54rjuah,515,274,872,move,robot
_gz54rjuah,490,260,934,move,robot
_gz54rjuah,465,247,996,move,robot
_gz54rjuah,440,234,1058,move,robot
_gz54rjuah,426,226,1121,move,robot
_gz54rjuah,401,213,1183,move,robot
_gz54rjuah,376,200,1244,move,robot
_gz54rjuah,351,186,1306,move,robot
_gz54rjuah,337,179,1370,move,robot
_gz54rjuah,313,166,1431,move,robot
_gz54rjuah,288,153,1494,move,robot
_gz54rjuah,263,140,1557,move,robot
_gz54rjuah,237,126,1620,move,robot
_gz54rjuah,224,119,1682,move,robot
_gz54rjuah,199,106,1744,move,robot
_gz54rjuah,174,93,1806,move,robot
_gz54rjuah,149,79,1868,move,robot
_gz54rjuah,135,72,1929,move,robot
_gz54rjuah,110,59,1993,move,robot
_gz54rjuah,85,45,2055,move,robot
_gz54rjuah,60,32,2118,move,robot
_gz54rjuah,35,18,2180,move,robot
_y25z2yv6n,348,215,62,move,robot
_y25z2yv6n,602,372,124,move,robot
_y25z2yv6n,848,523,186,move,robot
_y25z2yv6n,991,612,247,move,robot
_y25z2yv6n,953,589,310,move,robot
_y25z2yv6n,912,563,373,move,robot
_y25z2yv6n,873,539,436,move,robot
_y25z2yv6n,833,514,496,move,robot
_y25z2yv6n,812,501,560,move,robot
_y25z2yv6n,773,476,621,move,robot
_y25z2yv6n,734,452,683,move,robot
_y25z2yv6n,694,427,745,move,robot
_y25z2yv6n,672,414,808,move,robot
_y25z2yv6n,633,390,871,move,robot
_y25z2yv6n,593,365,932,move,robot
_y25z2yv6n,554,341,995,move,robot
_y25z2yv6n,513,316,1057,move,robot
_y25z2yv6n,494,303,1118,move,robot
_y25z2yv6n,454,279,1181,move,robot
_y25z2yv6n,415,254,1243,move,robot
_y25z2yv6n,375,230,1305,move,robot
_y25z2yv6n,353,216,1366,move,robot
_y25z2yv6n,315,192,1427,move,robot
_y25z2yv6n,276,168,1488,move,robot
_y25z2yv6n,237,144,1549,move,robot
_y25z2yv6n,197,119,1612,move,robot
_y25z2yv6n,175,105,1673,move,robot
_y25z2yv6n,135,81,1735,move,robot
_y25z2yv6n,96,56,1797,move,robot
_y25z2yv6n,57,32,1858,move,robot
_y25z2yv6n,34,18,1921,move,robot
_h2x11xg72,254,90,63,move,robot
_h2x11xg72,430,152,125,move,robot
_h2x11xg72,606,214,187,move,robot
_h2x11xg72,708,251,249,move,robot
_h2x11xg72,685,243,311,move,robot
_h2x11xg72,661,234,373,move,robot
_h2x11xg72,636,226,435,move,robot
_h2x11xg72,612,217,498,move,robot
_h2x11xg72,600,213,559,move,robot
_h2x11xg72,576,205,621,move,robot
_h2x11xg72,553,197,683,move,robot
_h2x11xg72,528,188,745,move,robot
_h2x11xg72,515,184,807,move,robot
_h2x11xg72,492,176,868,move,robot
_h2x11xg72,468,168,931,move,robot
_h2x11xg72,444,159,993,move,robot
_h2x11xg72,421,151,1053,move,robot
