session_id,x,y,time,event_type,label
_w0tf4pj8t,989,347,57,move,human
_w0tf4pj8t,747,293,113,move,human
_w0tf4pj8t,518,268,169,move,human
_w0tf4pj8t,334,227,224,move,human
_w0tf4pj8t,214,176,280,move,human
_w0tf4pj8t,188,148,335,move,human
_w0tf4pj8t,179,114,391,move,human
_w0tf4pj8t,149,87,447,move,human
_w0tf4pj8t,113,67,502,move,human
_w0tf4pj8t,91,57,558,move,human
_w0tf4pj8t,67,48,613,move,human
_w0tf4pj8t,42,36,669,move,human
_w0tf4pj8t,30,28,725,move,human
_w0tf4pj8t,24,21,780,move,human
_wgxq3j1iz,1034,547,53,move,human
_wgxq3j1iz,1034,546,853,move,human
_wgxq3j1iz,972,519,908,move,human
_wgxq3j1iz,755,453,963,move,human
_wgxq3j1iz,522,393,1019,move,human
_wgxq3j1iz,368,351,1074,move,human
_wgxq3j1iz,275,317,1130,move,human
_wgxq3j1iz,262,310,1186,move,human
_wgxq3j1iz,246,294,1241,move,human
_wgxq3j1iz,204,245,1297,move,human
_wgxq3j1iz,132,161,1352,move,human
_wgxq3j1iz,104,91,1408,move,human
_wgxq3j1iz,97,77,1465,move,human
_wgxq3j1iz,98,73,1517,move,human
_wgxq3j1iz,97,69,1568,move,human
_wgxq3j1iz,85,60,1624,move,human
_wgxq3j1iz,60,39,1679,move,human
_wgxq3j1iz,53,34,1881,move,human
_wgxq3j1iz,45,23,1936,move,human
_bixdb5ke0,1181,617,55,move,human
_bixdb5ke0,883,592,111,move,human
_bixdb5ke0,514,543,166,move,human
_bixdb5ke0,293,401,221,move,human
_bixdb5ke0,192,288,277,move,human
_bixdb5ke0,169,240,333,move,human
_bixdb5ke0,168,230,389,move,human
_bixdb5ke0,171,205,445,move,human
_bixdb5ke0,144,134,499,move,human
_bixdb5ke0,118,101,555,move,human
_bixdb5ke0,101,89,611,move,human
_bixdb5ke0,93,75,666,move,human
_bixdb5ke0,79,57,722,move,human
_bixdb5ke0,65,42,777,move,human
_bixdb5ke0,65,40,964,move,human
_bixdb5ke0,54,29,1021,move,human
_87l4rpw5v,802,574,594,move,human
_87l4rpw5v,685,515,651,move,human
_87l4rpw5v,518,405,707,move,human
_87l4rpw5v,396,309,762,move,human
_87l4rpw5v,320,221,818,move,human
_87l4rpw5v,290,184,873,move,human
_87l4rpw5v,258,148,929,move,human
_87l4rpw5v,201,101,985,move,human
_87l4rpw5v,147,75,1040,move,human
_87l4rpw5v,110,60,1092,move,human
_87l4rpw5v,84,47,1145,move,human
_87l4rpw5v,52,30,1200,move,human
_87l4rpw5v,30,18,1256,move,human
_065ntdngi,745,658,54,move,human
_065ntdngi,535,629,109,move,human
_065ntdngi,349,563,165,move,human
_065ntdngi,202,492,220,move,human
_065ntdngi,123,458,276,move,human
_065ntdngi,83,409,332,move,human
_065ntdngi,64,311,387,move,human
_065ntdngi,60,220,443,move,human
_065ntdngi,48,184,498,move,human
_065ntdngi,38,168,550,move,human
_065ntdngi,34,152,603,move,human
_065ntdngi,31,121,658,move,human
_065ntdngi,32,82,714,move,human
_065ntdngi,32,60,771,move,human
_065ntdngi,31,57,825,move,human
_065ntdngi,31,52,888,move,human
_065ntdngi,26,41,945,move,human
_065ntdngi,18,32,1005,move,human
_065ntdngi,17,30,1184,move,human
_065ntdngi,17,26,1241,move,human
_qjs4ud63k,1178,457,56,move,human
_qjs4ud63k,1260,510,112,move,human
_qjs4ud63k,1313,535,167,move,human
_qjs4ud63k,1317,541,633,move,human
_qjs4ud63k,1319,537,775,move,human
_qjs4ud63k,1285,529,827,move,human
_qjs4ud63k,1071,462,883,move,human
_qjs4ud63k,733,362,939,move,human
_qjs4ud63k,506,279,998,move,human
_qjs4ud63k,393,209,1052,move,human
_qjs4ud63k,344,166,1105,move,human
_qjs4ud63k,310,140,1161,move,human
_qjs4ud63k,274,125,1217,move,human
_qjs4ud63k,208,86,1272,move,human
_qjs4ud63k,140,52,1328,move,human
_qjs4ud63k,97,32,1384,move,human
_qjs4ud63k,80,29,1492,move,human
_qjs4ud63k,65,25,1543,move,human
_qjs4ud63k,42,17,1599,move,human
_3jl4u8afo,1189,414,79,move,human
_3jl4u8afo,1190,415,148,move,human
_3jl4u8afo,1196,422,203,move,human
_3jl4u8afo,1216,440,258,move,human
_3jl4u8afo,1286,490,314,move,human
_3jl4u8afo,1366,530,370,move,human
_3jl4u8afo,1401,538,425,move,human
_3jl4u8afo,1401,538,765,move,human
