vitesse_moyenne,vitesse_min,vitesse_max,vitesse_ecart_type,vitesse_coefficient_variation,vitesse_range_ratio,acceleration_moyenne,acceleration_min,acceleration_max,acceleration_ecart_type,distance_totale,distance_ligne_droite,ratio_linearite,nombre_changements_direction,variance_angles,entropie_angles,label,session_id
1041.163,65.555,3668.567,1074.311,1.032,0.982,-730.92,-26892.575,27117.694,13716.432,850.511,696.759,0.819,5,0.217,2.205,human,_8k7ntqflv
545.237,17.459,1077.305,327.206,0.6,0.984,-295.163,-6446.658,5149.126,3082.475,624.33,591.486,0.947,3,0.168,2.26,human,_8n43nopxc
1590.663,6.452,4292.334,1369.844,0.861,0.998,-3551.201,-59253.09,44100.889,20695.94,1942.974,1514.456,0.779,5,0.282,2.442,human,_8opj3s3c9
558.804,29.211,1496.504,380.942,0.682,0.98,108.406,-9680.125,26875.678,7922.998,853.336,788.113,0.924,1,0.082,2.643,human,_8pybjzxzf
2182.083,3.922,6083.377,2102.235,0.963,0.999,3791.151,-35187.422,41823.7,19697.894,1716.839,1397.915,0.814,7,0.767,2.254,human,_8swwtvyhy
737.218,34.401,1326.242,466.149,0.632,0.974,-329.326,-14419.215,4041.702,3488.449,984.503,915.05,0.929,3,0.059,2.5,human,_8ulguesj2
1043.49,4.831,3070.306,844.499,0.809,0.998,-33.072,-23093.085,52830.381,16611.566,1048.654,830.399,0.792,7,0.714,2.262,human,_93hp3f0y3
552.324,6.999,1537.375,453.559,0.821,0.995,400.003,-11281.045,12929.866,5772.328,984.766,962.346,0.977,0,0.023,1.609,human,_95ho3jwxv
551.385,13.216,1968.238,422.926,0.767,0.993,-637.76,-8357.634,8851.246,3925.706,1135.301,992.071,0.874,0,0.025,2.701,human,_9j3p1pbop
203.322,3.717,612.027,159.844,0.786,0.994,19.099,-9719.121,7051.665,2663.803,723.318,600.468,0.83,12,0.172,2.881,human,_9w9e6o6x6
575.612,3.226,1828.318,439.062,0.763,0.998,270.016,-8083.974,11395.1,4402.509,868.185,761.594,0.877,3,0.188,2.432,human,_9zro2mvso
1088.47,109.091,3182.081,932.975,0.857,0.966,-655.78,-31983.148,34501.862,12842.38,969.93,900.869,0.929,2,0.201,2.338,human,_9zwy5bx9s
467.457,82.379,1133.35,252.147,0.539,0.927,140.475,-9642.004,10945.874,4217.258,872.654,759.25,0.87,2,0.241,1.998,human,_a3jj4418w
419.255,3.396,827.766,240.404,0.573,0.996,-308.99,-5211.33,5288.433,2700.47,349.044,337.013,0.966,1,0.04,2.352,human,_a82qytcor
629.24,28.644,1851.342,456.371,0.725,0.985,230.641,-9963.858,14025.034,5252.591,1588.976,1183.149,0.745,6,0.233,2.055,human,_a870uyey1
1552.186,40.656,6462.939,1545.125,0.995,0.994,-892.534,-68111.374,101377.25,34858.44,1291.568,953.841,0.739,4,0.294,2.441,human,_a9xp0kpb9
1087.378,31.009,3782.092,896.678,0.825,0.992,-1058.571,-49035.516,25518.601,16217.612,1195.738,831.817,0.696,5,0.346,2.322,human,_adg8xde9v
570.97,117.851,1566.785,502.912,0.881,0.925,1015.696,-12919.281,15627.934,7443.171,340.593,282.816,0.83,1,0.106,2.043,human,_ana2opy66
